uid,game_pk,year,date,team_id_b,team_id_p,inning,top,at_bat_num,pcount_at_bat,pcount_pitcher,balls,strikes,fouls,outs,start_tfs,start_tfs_zulu,batter_id,stand,b_height,pitcher_id,p_throws,away_team_runs,home_team_runs,pitch_id,on_1b,on_2b,on_3b
16401964,287874,2011,2011-06-11,115,119,4,0,32,1,50,0,0,0,0,11752,2011-06-12 01:17:52,453064,R,6-3,150404,L,0,1,231,,,
16563602,287943,2011,2011-06-16,117,134,7,0,58,2,9,0,1,0,2,201625,2011-06-16 20:16:25,150324,R,6-2,453265,L,5,3,485,,,
14978259,287266,2011,2011-04-28,136,116,7,1,54,3,112,2,0,0,2,192235,2011-04-28 19:22:35,408210,L,5-8,207267,R,4,2,438,,,
14157327,286881,2011,2011-04-01,139,110,9,0,63,3,9,0,2,0,1,11932,2011-04-02 01:19:32,446334,R,6-2,462382,R,4,1,467,,,
15680886,287572,2011,2011-05-20,137,133,2,0,15,2,28,1,0,0,2,25043,2011-05-21 02:50:43,123173,R,5-9,502239,R,0,1,125,,,
15195569,287357,2011,2011-05-05,118,110,6,0,52,4,18,2,1,0,0,203058,2011-05-05 20:30:58,460051,L,6-0,434666,R,1,8,429,,,
15522502,287501,2011,2011-05-15,113,138,7,0,55,6,95,3,2,0,0,190644,2011-05-15 19:06:44,111867,R,6-1,112020,R,2,4,426,,,
17231420,288233,2011,2011-07-08,112,134,8,1,63,1,12,0,0,0,1,14757,2011-07-09 01:47:57,150093,R,6-1,407842,R,3,3,510,407781.0,,
14774732,287177,2011,2011-04-21,120,138,4,1,23,1,37,0,0,0,1,183420,2011-04-21 18:34:20,150449,L,6-1,346798,R,0,2,183,,,
15131784,287329,2011,2011-05-03,114,133,9,1,64,1,10,0,0,0,0,43905,2011-05-04 04:39:05,453181,R,6-2,150118,L,1,1,493,488726.0,,
14704865,287146,2011,2011-04-19,142,110,9,1,76,4,9,2,1,0,1,15619,2011-04-20 01:56:19,460077,R,6-1,434666,R,0,11,637,,,
16318107,287839,2011,2011-06-09,109,134,5,1,34,2,59,1,0,0,2,1712,2011-06-10 00:17:12,518567,R,6-4,444371,R,0,0,254,,,
17893529,288517,2011,2011-07-31,113,137,7,0,53,3,20,2,0,0,0,191150,2011-07-31 19:11:50,458015,L,6-2,150407,R,0,5,415,121074.0,,453211.0
14214542,286927,2011,2011-04-03,120,144,5,0,38,3,60,2,0,0,1,184857,2011-04-03 18:48:57,121358,R,5-9,218596,R,3,1,285,,,
16442569,287892,2011,2011-06-12,116,136,5,0,47,1,90,0,0,0,2,184252,2011-06-12 18:42:52,543108,L,6-0,433587,R,3,2,370,400121.0,408234.0,
14220318,286930,2011,2011-04-03,145,114,7,1,53,3,91,2,0,0,1,184537,2011-04-03 18:45:37,334393,L,5-10,475416,R,1,2,400,,,
15127270,287327,2011,2011-05-03,110,118,1,1,1,4,4,2,1,0,0,1008,2011-05-04 00:10:08,435180,R,6-0,433585,L,0,0,6,,,
15835863,287637,2011,2011-05-25,113,143,12,1,100,3,11,2,0,0,1,30940,2011-05-26 03:09:40,121074,R,6-1,458589,R,4,4,848,,,
14819378,287197,2011,2011-04-23,113,138,9,1,66,7,11,2,2,4,0,233004,2011-04-23 23:30:04,457926,R,6-2,211041,R,5,3,547,,,
15441607,287462,2011,2011-05-13,145,133,1,1,2,1,5,0,0,0,1,20810,2011-05-14 02:08:10,493351,R,6-2,435221,R,0,0,10,,,
14281068,286959,2011,2011-04-05,135,137,5,0,42,2,22,1,0,0,1,802,2011-04-06 00:08:02,452104,L,6-2,150407,R,1,3,343,,,
17039499,288147,2011,2011-07-02,146,140,1,1,4,4,21,2,1,0,0,1900,2011-07-03 00:19:00,434670,R,6-2,502706,L,0,0,40,459991.0,408299.0,466988.0
16012186,287710,2011,2011-05-30,147,133,7,1,47,3,101,2,0,0,1,214440,2011-05-30 21:44:40,465041,R,6-1,502239,R,3,0,353,458731.0,,
15668005,287567,2011,2011-05-20,116,134,9,1,75,1,12,0,0,0,2,20402,2011-05-21 02:04:02,430603,L,6-4,448857,R,1,10,602,400121.0,,
15636911,287555,2011,2011-05-19,135,158,8,0,60,9,9,3,2,4,1,40603,2011-05-20 04:06:03,456121,R,6-0,434180,R,0,0,458,,,
15022112,287283,2011,2011-04-29,138,144,6,1,43,1,86,0,0,0,0,10156,2011-04-30 01:01:56,407812,R,6-4,218596,R,2,2,324,,,
15060217,287298,2011,2011-04-30,144,138,2,0,11,5,19,2,2,0,0,173355,2011-04-30 17:33:55,462564,R,5-11,150414,R,0,0,82,,,
14415456,287015,2011,2011-04-09,121,120,7,0,59,3,20,1,1,0,1,12920,2011-04-10 01:29:20,434636,L,6-2,518495,R,4,6,470,,,
15079050,287307,2011,2011-05-01,118,142,1,0,4,1,1,0,0,0,0,181517,2011-05-01 18:15:17,502481,L,5-10,134321,R,0,0,23,,,
14291731,286964,2011,2011-04-06,111,114,2,1,14,1,25,0,0,0,1,233716,2011-04-06 23:37:16,136770,L,6-1,452676,R,0,2,108,120074.0,,
17554739,288371,2011,2011-07-21,116,142,2,1,9,5,28,1,2,2,1,2951,2011-07-22 00:29:51,425509,R,6-2,134321,R,0,0,68,,,
15469416,287473,2011,2011-05-14,108,140,3,1,19,5,31,3,1,0,0,204712,2011-05-14 20:47:12,488721,R,6-1,502706,L,0,1,146,,,
16518933,287925,2011,2011-06-15,116,114,1,0,4,2,2,0,1,0,0,231437,2011-06-15 23:14:37,457706,R,6-1,433584,R,0,0,27,,,
15088214,287310,2011,2011-05-01,135,119,7,1,48,2,11,0,1,0,2,215944,2011-05-01 21:59:44,461416,L,6-3,458003,R,3,0,383,,,
16341248,287849,2011,2011-06-09,142,140,1,0,6,1,7,0,0,0,0,1847,2011-06-10 00:18:47,458210,R,5-9,502706,L,1,0,41,519184.0,,
15694343,287578,2011,2011-05-21,144,108,7,1,55,3,97,2,0,0,1,41001,2011-05-22 04:10:01,445988,R,6-1,334492,R,3,4,450,,,
17341105,288282,2011,2011-07-14,137,135,11,1,77,3,20,1,1,1,1,50255,2011-07-15 05:02:55,435625,L,6-2,430589,R,1,1,631,,,
14768278,287174,2011,2011-04-21,133,136,9,1,58,1,1,0,0,0,0,42050,2011-04-22 04:20:50,425545,R,6-2,434181,R,0,1,454,,,
15165134,287344,2011,2011-05-04,114,133,5,1,33,2,76,1,0,0,0,31121,2011-05-05 03:11:21,429713,L,6-2,502239,R,1,2,249,,,
14236147,286937,2011,2011-04-03,138,135,3,0,18,6,31,3,2,1,0,184718,2011-04-03 18:47:18,448802,L,6-2,400291,R,0,0,125,,,
15604254,287541,2011,2011-05-18,133,142,4,0,30,3,57,2,0,0,0,30605,2011-05-19 03:06:05,425686,L,6-2,134321,R,3,2,233,,,
17306554,288266,2011,2011-07-10,116,118,5,1,30,3,69,1,1,1,1,191705,2011-07-10 19:17:05,430605,R,6-0,433585,L,1,0,227,,,
17897450,288519,2011,2011-07-31,141,140,4,0,35,3,3,1,1,0,2,190908,2011-07-31 19:09:08,430832,R,6-0,599899,R,0,7,314,,458675.0,
17209075,288224,2011,2011-07-07,145,142,3,0,26,1,30,0,0,0,1,10109,2011-07-08 01:01:09,334393,L,5-10,134321,R,3,0,197,493596.0,,
15584052,287531,2011,2011-05-17,145,140,8,0,63,1,6,0,0,0,0,22249,2011-05-18 02:22:49,543569,R,6-1,543136,R,3,3,512,493596.0,,
14532744,287045,2011,2011-04-14,115,121,2,1,10,2,27,0,1,0,2,202805,2011-04-14 20:28:05,115732,L,6-2,425626,L,0,0,77,,,
17516054,288354,2011,2011-07-19,117,120,7,0,64,2,2,0,1,0,0,23140,2011-07-20 02:31:40,477165,L,6-2,430634,L,6,7,518,,,
14912369,287236,2011,2011-04-26,118,114,7,1,50,4,91,2,1,0,0,4652,2011-04-27 00:46:52,451500,L,6-4,475416,R,3,4,379,,,
14907623,287234,2011,2011-04-26,158,113,3,0,18,3,26,2,0,0,0,4622,2011-04-27 00:46:22,460576,R,6-3,502190,R,0,1,131,,,
17184636,288213,2011,2011-07-06,137,135,4,0,30,4,42,3,0,0,0,30916,2011-07-07 03:09:16,467055,L,5-11,400291,R,4,1,225,,,
15732270,287596,2011,2011-05-22,115,158,8,1,57,2,10,0,1,0,2,200617,2011-05-22 20:06:17,471865,L,6-1,434180,R,1,3,421,,,
16419928,287883,2011,2011-06-12,117,144,9,0,69,3,16,0,2,2,2,203954,2011-06-12 20:39:54,449786,R,6-2,458924,L,4,1,553,346859.0,,
14777228,287178,2011,2011-04-22,109,121,1,1,2,3,5,2,0,0,0,231230,2011-04-22 23:12:30,430637,L,6-1,460059,R,0,0,10,,,455759.0
15760830,287608,2011,2011-05-23,111,114,1,1,1,1,1,0,0,0,0,632,2011-05-24 00:06:32,453056,L,6-1,475416,R,0,0,3,,,
14388755,287005,2011,2011-04-09,117,146,7,0,60,1,1,0,0,0,1,13448,2011-04-10 01:34:48,447816,R,6-1,444436,R,6,4,479,,,
