uid,game_pk,year,date,team_id_b,team_id_p,inning,top,at_bat_num,pcount_at_bat,pcount_pitcher,balls,strikes,fouls,outs,start_tfs,start_tfs_zulu,batter_id,stand,b_height,pitcher_id,p_throws,away_team_runs,home_team_runs,pitch_id,on_1b,on_2b,on_3b
17629432,288405,2011,2011-07-23,140,141,9,0,74,2,4,1,0,0,2,31311,2011-07-24 03:13:11,285078,L,6-4,400010,R,4,4,609,,,502226.0
15553398,287515,2011,2011-05-16,115,137,2,0,15,4,30,3,0,0,2,10622,2011-05-17 01:06:22,458643,L,5-11,453311,R,0,0,106,,452234.0,
15636935,287555,2011,2011-05-19,135,158,9,0,67,1,6,0,0,0,0,42736,2011-05-20 04:27:36,425547,L,6-2,462136,R,0,0,522,452221.0,,
14231855,286935,2011,2011-04-03,121,146,8,1,72,3,15,1,1,0,1,194805,2011-04-03 19:48:05,431151,R,6-0,329092,L,7,2,597,,407483.0,464341.0
17636131,288408,2011,2011-07-24,113,144,7,0,61,2,13,1,0,0,2,22706,2011-07-25 02:27:06,408252,R,6-0,447714,L,3,3,476,,453211.0,
17724267,288444,2011,2011-07-26,144,134,12,0,100,4,28,3,0,0,2,31545,2011-07-27 03:15:45,518792,L,6-5,276351,R,3,3,848,,518692.0,424325.0
14978291,287266,2011,2011-04-28,136,116,8,1,61,5,21,3,1,1,2,194019,2011-04-28 19:40:19,150456,L,5-11,543634,R,4,2,501,,,150396.0
17838271,288493,2011,2011-07-30,111,145,5,1,34,4,85,3,0,0,2,2044,2011-07-31 00:20:44,408236,L,6-2,458950,R,3,0,259,,,453056.0
15147575,287337,2011,2011-05-03,137,121,9,1,77,4,14,3,0,0,2,21047,2011-05-04 02:10:47,430917,L,5-9,408061,R,6,6,654,,452096.0,502034.0
14905874,287233,2011,2011-04-26,145,147,9,1,66,3,3,1,1,0,1,14058,2011-04-27 01:40:58,493351,R,6-2,234194,R,3,2,514,334393.0,,
15674079,287569,2011,2011-05-20,119,145,8,1,59,3,14,2,0,0,1,21826,2011-05-21 02:18:26,461314,R,6-4,407819,L,2,3,438,,425206.0,543742.0
17431942,288320,2011,2011-07-17,109,119,7,0,50,4,92,3,0,0,1,220348,2011-07-17 22:03:48,440251,R,5-11,150404,L,0,2,375,,455759.0,
16246701,287808,2011,2011-06-06,120,137,12,1,97,4,23,3,0,0,2,61351,2011-06-07 06:13:51,150029,R,6-5,489265,R,4,4,826,,435622.0,150302.0
17195862,288218,2011,2011-07-07,111,110,5,0,47,2,93,1,0,0,1,10002,2011-07-08 01:00:02,120074,L,6-4,453562,R,3,5,390,,425903.0,
16874460,288080,2011,2011-06-26,141,138,7,1,56,2,21,1,0,0,2,195830,2011-06-26 19:58:30,279913,L,5-10,459939,R,5,0,401,,434658.0,
17318635,288271,2011,2011-07-10,119,135,2,0,16,4,34,3,0,0,2,204356,2011-07-10 20:43:56,425446,L,5-8,431162,R,0,0,124,,425900.0,346874.0
